date,description,amount,transaction type,source_category,account name,month,category
01/01/2018 00:00,Amazon,11.11,debit,Shopping,Platinum Card,2018-01,shopping
02/01/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-01,bills
02/01/2018 00:00,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-01,eating_out
03/01/2018 00:00,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card,2018-01,bills
04/01/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-01,entertainment
05/01/2018 00:00,American Tavern,25.85,debit,Restaurants,Silver Card,2018-01,eating_out
06/01/2018 00:00,Hardware Store,18.45,debit,Home Improvement,Silver Card,2018-01,shopping
08/01/2018 00:00,Gas Company,45,debit,Utilities,Checking,2018-01,bills
08/01/2018 00:00,Hardware Store,15.38,debit,Home Improvement,Silver Card,2018-01,shopping
09/01/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-01,subscriptions
10/01/2018 00:00,Phone Company,89.46,debit,Mobile Phone,Checking,2018-01,bills
11/01/2018 00:00,Shell,34.87,debit,Gas & Fuel,Platinum Card,2018-01,transport
11/01/2018 00:00,Grocery Store,43.54,debit,Groceries,Platinum Card,2018-01,groceries
12/01/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-01,income
13/01/2018 00:00,Pizza Place,32.91,debit,Fast Food,Platinum Card,2018-01,eating_out
13/01/2018 00:00,Amazon,39.05,debit,Shopping,Platinum Card,2018-01,shopping
15/01/2018 00:00,Grocery Store,44.19,debit,Groceries,Silver Card,2018-01,groceries
15/01/2018 00:00,American Tavern,64.11,debit,Restaurants,Silver Card,2018-01,eating_out
16/01/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-01,bills
16/01/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-01,bills
19/01/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-01,income
20/01/2018 00:00,Amazon,50.21,debit,Shopping,Platinum Card,2018-01,shopping
22/01/2018 00:00,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card,2018-01,bills
22/01/2018 00:00,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card,2018-01,bills
22/01/2018 00:00,Credit Card Payment,554.99,debit,Credit Card Payment,Checking,2018-01,bills
22/01/2018 00:00,Hardware Store,17.38,debit,Home Improvement,Silver Card,2018-01,shopping
23/01/2018 00:00,Credit Card Payment,309.81,debit,Credit Card Payment,Checking,2018-01,bills
24/01/2018 00:00,Starbucks,3,debit,Coffee Shops,Platinum Card,2018-01,eating_out
25/01/2018 00:00,Internet Service Provider,69.99,debit,Internet,Checking,2018-01,bills
29/01/2018 00:00,Shell,30.42,debit,Gas & Fuel,Silver Card,2018-01,transport
29/01/2018 00:00,Thai Restaurant,25,debit,Restaurants,Silver Card,2018-01,eating_out
29/01/2018 00:00,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,2018-01,eating_out
01/02/2018 00:00,Grocery Store,27.79,debit,Groceries,Platinum Card,2018-02,groceries
01/02/2018 00:00,Amazon,11.11,debit,Shopping,Platinum Card,2018-02,shopping
02/02/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-02,bills
02/02/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-02,income
03/02/2018 00:00,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,2018-02,eating_out
04/02/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-02,entertainment
05/02/2018 00:00,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card,2018-02,bills
06/02/2018 00:00,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card,2018-02,bills
07/02/2018 00:00,Credit Card Payment,154.13,debit,Credit Card Payment,Checking,2018-02,bills
07/02/2018 00:00,Gas Company,65,debit,Utilities,Checking,2018-02,bills
