date,description,amount
2026-07-10,TAXI RIDE LONDON REF 855653,-29.67
2026-07-10,FIVE GUYS REF 900601,-26.42
2026-07-09,EDF *  * ENERGY *  * BILL *  * REF *  * 798662,-110.69
2026-07-25,WELLNESS APPOINTMENT REF 140359,-115.18
2026-07-21,airline * booking * ref * 315067,-34.36
2026-07-30,parking * payment * oxford * st * ref * 420273,-37.64
2026-07-08,netflix.com ref 263773,-26.76
2026-07-18,sports * massage * clinic * birmingham * ref * 379887,-17.36
2026-07-27,PRIMARK  LONDON  REF  325814 CARD PAYMENT,-102.15
2026-07-05,UNIQLO REF 586701,-58.98
2026-07-26,PRIMARK VICTORIA,-70.16
2026-07-25,PAYROLL CREDIT VICTORIA,2249.28
2026-07-29,direct  debit  bill  ref  343475,-34.11
2026-07-28,DELIVEROO ORDER UK REF 814773 CARD PAYMENT,-5.95
2026-07-22,TICKETMASTER UK CAMDEN REF 482827,-5.33
2026-07-22,morrisons  online  ref  52288,-51.29
2026-07-09,private *  * gp *  * birmingham *  * ref *  * 596787,-103.77
2026-07-11,DELIVEROO ORDER CARD PAYMENT,-4.6
2026-07-11,OPTICIAN APPOINTMENT OXFORD ST REF 82114,-28.82
2026-07-29,ODEON CINEMA LONDON REF 658501 CARD PAYMENT,-53.67
2026-07-24,ARGOS * VICTORIA * CARD * PAYMENT,-138.67
2026-07-18,BP * FUEL * OXFORD * ST * REF * 406334,-62.12
2026-07-02,THEATRE TICKETS UK REF 841144 CARD PAYMENT,-85.18
2026-07-11,LIVE *  * EVENT *  * VICTORIA,-90.23
2026-07-09,PAYROLL CREDIT REF 161778,2169.02
2026-07-25,CASHBACK REWARD ONLINE REF 996955 CARD PAYMENT,874.13
2026-07-07,AMAZON * PRIME * UK * REF * 647839,-28.7
2026-07-21,BOOTS PHARMACY,-107.99
2026-07-10,FREELANCE PAYMENT MANCHESTER,2224.58
2026-07-05,BOWLING * LONDON * VICTORIA * CARD * PAYMENT,-30.76
2026-07-18,STARBUCKS COFFEE ONLINE REF 633984,-13.25
2026-07-26,PHARMACY PRESCRIPTION UK REF 273482 CARD PAYMENT,-73.9
2026-07-02,morrisons card payment,-19.74
2026-07-06,OCTOPUS ENERGY REF 416597,-119.64
2026-07-04,EMPLOYER *  * PAYROLL,206.81
2026-07-16,SALE  PAYMENT  REF  441919 CARD PAYMENT,1787.84
2026-07-20,PUREGYM MEMBERSHIP UK REF 707017,-62.39
2026-07-21,NEXT RETAIL UK,-94.5
2026-07-29,amazon  marketplace  camden card payment,-74.28
2026-07-26,CLOTHING  STORE  CAMDEN  REF  647233 CARD PAYMENT,-156.11
2026-07-12,taxi * ride * card * payment,-73.83
2026-07-05,ICELAND FOODS UK REF 156159,-48.4
2026-07-13,REFUND PAYMENT ONLINE REF 24304,2918.42
2026-07-18,BRITISH  GAS  LONDON  REF  396758,-141.91
2026-07-09,EE *  * MOBILE *  * REF *  * 278558,-165.18
2026-07-13,WAGAMAMA  CAMDEN  REF  244459 CARD PAYMENT,-49.09
2026-07-08,ADOBE SOFTWARE,-2.46
2026-07-26,SALE PAYMENT UK,2135.54
2026-07-24,amazon  marketplace  online  ref  451363,-29.48
2026-07-06,lime  bike  ref  308393,-32.48
2026-07-20,MONTHLY MEMBERSHIP REF 26882,-11.35
2026-07-25,FIVE  GUYS  REF  437999,-52.07
2026-07-04,ODEON * CINEMA,-22.42
2026-07-24,CO OP STORE REF 694411,-41.85
2026-07-26,pharmacy * prescription * online * ref * 999253 * card * payment,-13.75
2026-07-04,STEAM GAMES REF 639550,-23.39
2026-07-20,DIRECT DEBIT BILL CAMDEN,-36.11
2026-07-03,BOLT  RIDE  REF  600425,-68.46
2026-07-26,RESTAURANT * BILL * MANCHESTER,-15.4
2026-07-14,NATIONAL  RAIL  TICKET  VICTORIA  REF  758878,-54.74
