date,description,amount,category
2026-02-19,SKY * STORE * MOVIE * REF * 465915 * CARD * PAYMENT,-108.26,entertainment
2026-03-31,TESCO * STORE * LONDON * REF * 950282,-79.05,groceries
2026-01-28,DISNEY  PLUS  OXFORD  ST  REF  769577,-15.64,subscriptions
2026-06-02,PHARMACY  PRESCRIPTION  VICTORIA  REF  482035,-94.07,health_fitness
2026-02-15,ASDA * GROCERIES,-83.22,groceries
2026-06-01,SHELL PETROL STATION MANCHESTER REF 887589 CARD PAYMENT,-69.15,transport
2026-05-14,freelance  payment  uk card payment,2709.89,income
2026-04-21,BP FUEL LONDON REF 627543,-64.0,transport
2026-05-25,TRAINLINE REF 604853,-29.28,transport
2026-05-09,BONUS  PAYMENT  REF  496890,561.21,income
2026-05-28,SKY STORE MOVIE ONLINE REF 522178,-52.49,entertainment
2026-03-27,ee  mobile  manchester,-33.67,bills
2026-05-27,NATIONAL RAIL TICKET ONLINE REF 177379,-39.78,transport
2026-05-23,THEATRE  TICKETS CARD PAYMENT,-24.99,entertainment
2026-02-15,GO  APE  ACTIVITY  REF  940103,-38.65,entertainment
2026-02-15,BP FUEL LONDON REF 289086,-34.0,transport
2026-04-17,NATIONAL  RAIL  TICKET  VICTORIA  REF  237290,-43.49,transport
2026-03-11,COUNCIL TAX PAYMENT REF 963290,-126.07,bills
2026-06-21,WAITROSE SUPERMARKET REF 633556,-41.83,groceries
2026-05-05,CAFFE * NERO * REF * 561380,-26.75,eating_out
2026-02-27,APPLE ICLOUD BIRMINGHAM REF 397905,-12.54,subscriptions
2026-01-02,EDF *  * ENERGY *  * BILL,-102.29,bills
2026-01-08,BANK  TRANSFER  RECEIVED  BIRMINGHAM,570.68,income
2026-02-14,BRITISH  GAS  OXFORD  ST,-173.82,bills
2026-02-11,TICKETMASTER  UK,-26.13,entertainment
2026-01-18,freelance  payment  london  ref  115655 card payment,2082.38,income
2026-06-27,NETFLIX.COM OXFORD ST,-18.1,subscriptions
2026-02-16,O2  MOBILE  BILL  BIRMINGHAM  REF  747635,-69.76,bills
2026-06-22,MORRISONS CARD PAYMENT,-66.84,groceries
2026-04-28,CAFFE NERO OXFORD ST,-37.46,eating_out
2026-02-26,PUREGYM  MEMBERSHIP  LONDON,-32.57,health_fitness
2026-04-13,PHARMACY  PRESCRIPTION  ONLINE  REF  165417 CARD PAYMENT,-90.46,health_fitness
2026-04-17,lidl * gb * birmingham * ref * 967648,-75.22,groceries
2026-05-30,AMAZON MARKETPLACE REF 507773,-148.18,shopping
2026-03-21,THAMES WATER REF 484220 CARD PAYMENT,-85.31,bills
2026-02-26,bp fuel ref 516611,-5.22,transport
2026-06-24,SKY STORE MOVIE UK REF 400812,-34.47,entertainment
2026-04-12,ALDI  STORE CARD PAYMENT,-91.36,groceries
2026-03-10,pharmacy prescription camden ref 53294,-9.1,health_fitness
2026-05-16,APPLE ICLOUD,-3.22,subscriptions
2026-01-05,EDF ENERGY BILL ONLINE REF 67052,-150.83,bills
2026-03-16,UBER TRIP HELP.UBER.COM BIRMINGHAM,-34.57,transport
2026-05-01,H&M CLOTHING UK,-22.21,shopping
2026-02-10,BOWLING  LONDON  LONDON  REF  987308,-96.61,entertainment
2026-06-04,PHARMACY PRESCRIPTION UK CARD PAYMENT,-99.36,health_fitness
2026-02-03,TRAINLINE REF 787530,-12.14,transport
2026-03-09,NANDOS LONDON UK,-50.46,eating_out
2026-01-28,STARBUCKS COFFEE CAMDEN REF 700061,-50.85,eating_out
2026-03-15,VISION EXPRESS,-58.9,health_fitness
2026-04-20,ODEON CINEMA BIRMINGHAM REF 668254 CARD PAYMENT,-33.83,entertainment
2026-01-05,shell  petrol  station  manchester,-64.23,transport
2026-04-01,AUDIBLE UK MANCHESTER REF 402261,-10.84,subscriptions
2026-03-11,COUNCIL TAX PAYMENT REF 696781,-159.99,bills
2026-05-05,next *  * retail *  * ref *  * 687315,-30.15,shopping
2026-02-07,ee  mobile,-74.23,bills
2026-04-16,NATIONAL RAIL TICKET VICTORIA REF 842814,-29.69,transport
2026-03-01,BOWLING  LONDON  VICTORIA,-93.16,entertainment
2026-03-04,BANK TRANSFER RECEIVED,1619.78,income
2026-05-18,SAINSBURYS LOCAL ONLINE REF 293136,-42.77,groceries
2026-01-16,GO  APE  ACTIVITY  LONDON  REF  682448,-77.51,entertainment
2026-04-12,SKY STORE MOVIE REF 695595 CARD PAYMENT,-41.5,entertainment
2026-06-26,COUNCIL TAX PAYMENT VICTORIA REF 424533,-25.51,bills
2026-05-02,NATIONAL RAIL TICKET MANCHESTER,-4.92,transport
2026-05-07,VISION EXPRESS MANCHESTER REF 973238 CARD PAYMENT,-15.67,health_fitness
2026-01-06,BONUS PAYMENT OXFORD ST REF 680309,2845.77,income
2026-04-30,PRET A MANGER OXFORD ST,-23.17,eating_out
2026-01-17,AUDIBLE *  * UK *  * LONDON *  * REF *  * 667764 * CARD * PAYMENT,-14.19,subscriptions
2026-06-27,TRAINLINE CARD PAYMENT,-27.94,transport
2026-03-02,AUDIBLE UK LONDON,-15.3,subscriptions
2026-03-23,DENTAL PRACTICE CARD PAYMENT,-24.98,health_fitness
2026-02-02,DENTAL * PRACTICE * REF * 707682,-100.74,health_fitness
2026-05-18,morrisons,-24.67,groceries
2026-05-09,THAMES *  * WATER *  * BIRMINGHAM *  * REF *  * 824073 * CARD * PAYMENT,-148.85,bills
2026-04-14,argos camden ref 66214 card payment,-111.52,shopping
2026-02-07,bowling london manchester ref 271539,-71.19,entertainment
2026-04-20,TESCO STORE LONDON UK REF 350759,-56.0,groceries
2026-05-13,THAMES * WATER * VICTORIA,-152.43,bills
2026-01-17,VISION EXPRESS OXFORD ST,-77.76,health_fitness
2026-02-03,TESCO STORE LONDON VICTORIA REF 383584 CARD PAYMENT,-23.28,groceries
2026-03-27,CAFFE NERO REF 616702 CARD PAYMENT,-36.04,eating_out
2026-03-06,bowling  london,-78.03,entertainment
2026-03-27,INTEREST PAID CAMDEN,851.53,income
2026-04-08,JOHN  LEWIS  ONLINE,-89.98,shopping
2026-04-19,AUDIBLE UK VICTORIA,-16.95,subscriptions
2026-01-01,ZIPCAR * UK * LONDON * REF * 657596,-34.77,transport
